0,dividend
2025-09-05,1.193
2025-09-04,1.19
2025-09-03,1.2
2025-09-02,1.206
2025-08-29,1.197
2025-08-28,1.19
2025-08-27,1.193
2025-08-26,1.196
2025-08-25,1.201
2025-08-22,1.196
2025-08-21,1.214
2025-08-20,1.209
2025-08-19,1.206
2025-08-18,1.199
2025-08-15,1.199
2025-08-14,1.196
2025-08-13,1.196
2025-08-12,1.2
2025-08-11,1.214
2025-08-08,1.211
2025-08-07,1.22
2025-08-06,1.219
2025-08-05,1.228
2025-08-04,1.222
2025-08-01,1.24
2025-07-31,1.22
2025-07-30,1.216
2025-07-29,1.214
2025-07-28,1.211
2025-07-25,1.211
2025-07-24,1.216
2025-07-23,1.216
2025-07-22,1.226
2025-07-21,1.227
2025-07-18,1.228
2025-07-17,1.228
2025-07-16,1.235
2025-07-15,1.239
2025-07-14,1.234
2025-07-11,1.236
2025-07-10,1.232
2025-07-09,1.235
2025-07-08,1.242
2025-07-07,1.242
2025-07-03,1.232
2025-07-02,1.242
2025-07-01,1.248
2025-06-30,1.247
2025-06-27,1.247
2025-06-26,1.253
2025-06-25,1.263
2025-06-24,1.263
2025-06-23,1.277
2025-06-20,1.289
2025-06-18,1.287
2025-06-17,1.286
2025-06-16,1.275
2025-06-13,1.287
2025-06-12,1.273
2025-06-11,1.278
2025-06-10,1.274
2025-06-09,1.281
2025-06-06,1.282
2025-06-05,1.296
2025-06-04,1.289
2025-06-03,1.289
2025-06-02,1.296
2025-05-30,1.295
2025-05-29,1.295
2025-05-28,1.3
2025-05-27,1.293
2025-05-23,1.319
2025-05-22,1.31
2025-05-21,1.31
2025-05-20,1.289
2025-05-19,1.284
2025-05-16,1.285
2025-05-15,1.294
2025-05-14,1.299
2025-05-13,1.3
2025-05-12,1.31
2025-05-09,1.352
2025-05-08,1.352
2025-05-07,1.359
2025-05-06,1.365
2025-05-05,1.355
2025-05-02,1.346
2025-05-01,1.366
2025-04-30,1.375
2025-04-29,1.369
2025-04-28,1.377
2025-04-25,1.378
2025-04-24,1.388
2025-04-23,1.417
2025-04-22,1.44
2025-04-21,1.476
2025-04-17,1.441
2025-04-16,1.443
2025-04-15,1.411
2025-04-14,1.409
2025-04-11,1.42
2025-04-10,1.446
2025-04-09,1.395
2025-04-08,1.528
2025-04-07,1.504
2025-04-04,1.501
2025-04-03,1.411
2025-04-02,1.343
2025-04-01,1.352
2025-03-31,1.357
2025-03-28,1.357
2025-03-27,1.33
2025-03-26,1.325
2025-03-25,1.311
2025-03-24,1.313
2025-03-21,1.336
2025-03-20,1.337
2025-03-19,1.334
2025-03-18,1.348
2025-03-17,1.334
2025-03-14,1.343
2025-03-13,1.371
2025-03-12,1.352
2025-03-11,1.359
2025-03-10,1.348
2025-03-07,1.312
2025-03-06,1.319
2025-03-05,1.296
2025-03-04,1.31
2025-03-03,1.294
2025-02-28,1.271
2025-02-27,1.284
2025-02-26,1.264
2025-02-25,1.264
2025-02-24,1.258
2025-02-21,1.252
2025-02-20,1.23
2025-02-19,1.225
2025-02-18,1.228
2025-02-14,1.231
2025-02-13,1.231
2025-02-12,1.244
2025-02-11,1.24
2025-02-10,1.241
2025-02-07,1.249
2025-02-06,1.237
2025-02-05,1.242
2025-02-04,1.247
2025-02-03,1.256
2025-01-31,1.246
2025-01-30,1.233
2025-01-29,1.239
2025-01-28,1.233
2025-01-27,1.245
2025-01-24,1.226
2025-01-23,1.223
2025-01-22,1.229
2025-01-21,1.237
2025-01-17,1.248
2025-01-16,1.26
2025-01-15,1.258
2025-01-14,1.281
2025-01-13,1.282
2025-01-10,1.284
2025-01-08,1.264
2025-01-07,1.266
2025-01-06,1.252
2025-01-03,1.259
2025-01-02,1.275
2024-12-31,1.272
2024-12-30,1.259
2024-12-27,1.245
2024-12-26,1.231
2024-12-24,1.231
2024-12-23,1.245
2024-12-20,1.254
2024-12-19,1.267
2024-12-18,1.266
2024-12-17,1.229
2024-12-16,1.224
2024-12-13,1.229
2024-12-12,1.229
2024-12-11,1.222
2024-12-10,1.232
2024-12-09,1.228
2024-12-06,1.221
2024-12-05,1.224
2024-12-04,1.222
2024-12-03,1.229
2024-12-02,1.23
2024-11-29,1.225
2024-11-27,1.232
2024-11-26,1.227
2024-11-25,1.234
2024-11-22,1.238
2024-11-21,1.242
2024-11-20,1.249
2024-11-19,1.249
2024-11-18,1.254
2024-11-15,1.258
2024-11-14,1.242
2024-11-13,1.234
2024-11-12,1.235
2024-11-11,1.231
2024-11-08,1.232
2024-11-07,1.237
2024-11-06,1.246
2024-11-05,1.278
2024-11-04,1.293
2024-11-01,1.29
2024-10-31,1.295
2024-10-30,1.263
2024-10-29,1.258
2024-10-28,1.26
2024-10-25,1.264
2024-10-24,1.263
2024-10-23,1.266
2024-10-22,1.254
2024-10-21,1.254
2024-10-18,1.252
2024-10-17,1.257
2024-10-16,1.256
2024-10-15,1.262
2024-10-14,1.253
2024-10-11,1.262
2024-10-10,1.27
2024-10-09,1.267
2024-10-08,1.276
2024-10-07,1.289
2024-10-04,1.276
2024-10-03,1.288
2024-10-02,1.286
2024-10-01,1.286
2024-09-30,1.274
2024-09-27,1.271
2024-09-26,1.269
2024-09-25,1.274
2024-09-24,1.272
2024-09-23,1.275
2024-09-20,1.279
2024-09-19,1.276
2024-09-18,1.298
2024-09-17,1.294
2024-09-16,1.295
2024-09-13,1.296
2024-09-12,1.303
2024-09-11,1.313
2024-09-10,1.327
2024-09-09,1.333
2024-09-06,1.348
2024-09-05,1.325
2024-09-04,1.321
2024-09-03,1.319
2024-08-30,1.283
2024-08-29,1.296
2024-08-28,1.296
2024-08-27,1.288
2024-08-26,1.29
2024-08-23,1.286
2024-08-22,1.301
2024-08-21,1.289
2024-08-20,1.294
2024-08-19,1.292
2024-08-16,1.304
2024-08-15,1.307
2024-08-14,1.328
2024-08-13,1.333
2024-08-12,1.356
2024-08-09,1.356
2024-08-08,1.362
2024-08-07,1.393
2024-08-06,1.383
2024-08-05,1.397
2024-08-02,1.355
2024-08-01,1.33
2024-07-31,1.312
2024-07-30,1.324
2024-07-29,1.317
2024-07-26,1.319
2024-07-25,1.333
2024-07-24,1.326
2024-07-23,1.296
2024-07-22,1.294
2024-07-19,1.308
2024-07-18,1.298
2024-07-17,1.288
2024-07-16,1.27
2024-07-15,1.278
2024-07-12,1.282
2024-07-11,1.289
2024-07-10,1.278
2024-07-09,1.291
2024-07-08,1.292
2024-07-05,1.293
2024-07-03,1.3
2024-07-02,1.307
2024-07-01,1.315
2024-06-28,1.311
2024-06-27,1.306
